email,password,identification,Nombre líder
dummy3009188@performance.meli.com,StarmeUpQ4+,performance-meli-30001930,MATIAS JARABROVISKI
dummy3008814@performance.meli.com,StarmeUpQ4+,performance-meli-30001967,MALENA VICTORIA CASTRO PLATA
dummy3009144@performance.meli.com,StarmeUpQ4+,performance-meli-30011322,LEANDRO OMAR ICAZURIAGA
dummy3005220@performance.meli.com,StarmeUpQ4+,performance-meli-30020131,MARCELO IVAN BUSTAMANTE GOMEZ
dummy3008610@performance.meli.com,StarmeUpQ4+,performance-meli-30005613,IGNACIO RIBEIRO DE SOUZA
dummy3007468@performance.meli.com,StarmeUpQ4+,performance-meli-30007366,FERMIN LAMBRUSCHINI
dummy3006616@performance.meli.com,StarmeUpQ4+,performance-meli-30048252,ADRIANA BRUGO
dummy3007973@performance.meli.com,StarmeUpQ4+,performance-meli-30072199,SANTIAGO MANUEL TROCCOLI
dummy3005555@performance.meli.com,StarmeUpQ4+,performance-meli-30036600,RENAN COLLI
dummy3005598@performance.meli.com,StarmeUpQ4+,performance-meli-30058404,GASTON NICOLAS FELGUERAS
dummy3008364@performance.meli.com,StarmeUpQ4+,performance-meli-30090716,PEDRO LEANDRO ROSSI
dummy3009006@performance.meli.com,StarmeUpQ4+,performance-meli-30034882,NATALI LOURDES ALEGRE
dummy3005009@performance.meli.com,StarmeUpQ4+,performance-meli-30059293,CAMILA NAOMI ABALSAMO
dummy3009192@performance.meli.com,StarmeUpQ4+,performance-meli-3150,JEREMIAS ZARATE
dummy3007616@performance.meli.com,StarmeUpQ4+,performance-meli-30076907,ARIEL HORNSTEIN
dummy3007945@performance.meli.com,StarmeUpQ4+,performance-meli-30023510,ALAN AUGUSTO LENHARO NISHIDATE
dummy3008470@performance.meli.com,StarmeUpQ4+,performance-meli-30052067,VERONICA CASTRO LEÓN
dummy3008704@performance.meli.com,StarmeUpQ4+,performance-meli-30063286,FERNANDA ILLANES
dummy3008818@performance.meli.com,StarmeUpQ4+,performance-meli-30007304,DIEGO KOODI MITAMI
dummy3007253@performance.meli.com,StarmeUpQ4+,performance-meli-30036676,FLORENCIA VINCI
dummy3007256@performance.meli.com,StarmeUpQ4+,performance-meli-30083398,FEDERICO ARIEL MACCHI
dummy3008008@performance.meli.com,StarmeUpQ4+,performance-meli-30100665,FERNANDO TAPIA
dummy3006341@performance.meli.com,StarmeUpQ4+,performance-meli-30059172,MATHEUS MARES DE SOUSA
dummy3007234@performance.meli.com,StarmeUpQ4+,performance-meli-30002392,FABIANO SILVA DE FREITAS
dummy3008687@performance.meli.com,StarmeUpQ4+,performance-meli-30063166,MARINA MARTINS DOS SANTOS
dummy3008424@performance.meli.com,StarmeUpQ4+,performance-meli-30091679,CINTIA DENISE FIRPO
dummy3009196@performance.meli.com,StarmeUpQ4+,performance-meli-3332,GUSTAVO ESTEBAN ARIAS
dummy3007149@performance.meli.com,StarmeUpQ4+,performance-meli-30048477,MAURO ALEJANDRO ALONSO SOBREIRA
dummy3007661@performance.meli.com,StarmeUpQ4+,performance-meli-2168,FACUNDO IVAN DIMA RUGGIANO
dummy3006578@performance.meli.com,StarmeUpQ4+,performance-meli-30035852,BERNARDO GRAND
dummy3009084@performance.meli.com,StarmeUpQ4+,performance-meli-30022421,FLORENCIA ALCARAZ
dummy3006318@performance.meli.com,StarmeUpQ4+,performance-meli-30095691,FERNANDA AZEVEDO REBELO
dummy3008698@performance.meli.com,StarmeUpQ4+,performance-meli-30063890,AGUSTIN MATIAS CRESPO
dummy3008309@performance.meli.com,StarmeUpQ4+,performance-meli-30096727,JULIAN LIMA
dummy3007411@performance.meli.com,StarmeUpQ4+,performance-meli-30013093,MARIANA ANAVI
dummy3007737@performance.meli.com,StarmeUpQ4+,performance-meli-30090693,CAMILA IRINA TORRES DE SOUSA
dummy3007995@performance.meli.com,StarmeUpQ4+,performance-meli-30000548,ROCIO SALOME MARTIN GRONDONA
dummy3006520@performance.meli.com,StarmeUpQ4+,performance-meli-30071562,FRANCISCO ROSEMIRO SOUSA DE PAULA
dummy3009046@performance.meli.com,StarmeUpQ4+,performance-meli-30028837,FELIPE DE OLIVEIRA SILVA
dummy3009099@performance.meli.com,StarmeUpQ4+,performance-meli-30020052,PAMELA SOUZA DAMASCENA
dummy3009193@performance.meli.com,StarmeUpQ4+,performance-meli-30000755,EDGARDO MARTIN PARRAGA GUARDIANO
dummy3008909@performance.meli.com,StarmeUpQ4+,performance-meli-30043231,JERÓNIMO TOLEDO
dummy3007745@performance.meli.com,StarmeUpQ4+,performance-meli-30051464,MACARENA BELEN GEIER
dummy3007940@performance.meli.com,StarmeUpQ4+,performance-meli-30015809,KEVIN RIZZI
dummy3005261@performance.meli.com,StarmeUpQ4+,performance-meli-30006390,SERGIO AGUSTIN VALENZUELA GOYCOOLEA
dummy3008646@performance.meli.com,StarmeUpQ4+,performance-meli-30010226,ANELISA WALBER
dummy3008588@performance.meli.com,StarmeUpQ4+,performance-meli-2820,CECILIA RASCH
dummy3006643@performance.meli.com,StarmeUpQ4+,performance-meli-30102571,THAMIRES BARBEIRO CASTELO
dummy3007650@performance.meli.com,StarmeUpQ4+,performance-meli-30024596,BARBARA PESSAGNO
dummy3007820@performance.meli.com,StarmeUpQ4+,performance-meli-30061287,ANDREA ISABEL DACUNDA DIAZ
dummy3005047@performance.meli.com,StarmeUpQ4+,performance-meli-30002679,JUAN MANUEL BARBEI
dummy3009055@performance.meli.com,StarmeUpQ4+,performance-meli-30025151,FRANCIS ALESSANDRINI IUORNO
dummy3009176@performance.meli.com,StarmeUpQ4+,performance-meli-30003384,ROMINA MARIANA FRASSO
dummy3009132@performance.meli.com,StarmeUpQ4+,performance-meli-30013630,MATIAS DANIEL ROMEU TREVIZANI
dummy3008228@performance.meli.com,StarmeUpQ4+,performance-meli-30104927,IAN FRANCO DEMARCO
dummy3009071@performance.meli.com,StarmeUpQ4+,performance-meli-30025150,FERNANDO LOBOS
dummy3008041@performance.meli.com,StarmeUpQ4+,performance-meli-30039730,ALEJANDRO LUIS PALOMINO
dummy3008083@performance.meli.com,StarmeUpQ4+,performance-meli-30008094,MARTIN DE JESUS PONTE
dummy3008908@performance.meli.com,StarmeUpQ4+,performance-meli-30014704,CONSUELO ZAMELSON
dummy3007917@performance.meli.com,StarmeUpQ4+,performance-meli-30035894,JIMENA BELEN ARIAS
dummy3005354@performance.meli.com,StarmeUpQ4+,performance-meli-30067509,MARIANELA ELSA VILLAGRA PEREZ
dummy3005179@performance.meli.com,StarmeUpQ4+,performance-meli-30024188,PEDRO HERMENEGILDO VON WUTHENAU
dummy3008517@performance.meli.com,StarmeUpQ4+,performance-meli-30077361,LEONEL NICOLAS FELISBERTO DOS REIS
dummy3006471@performance.meli.com,StarmeUpQ4+,performance-meli-30086913,LISANGELA GEMIGNANI VACCARO
dummy3009148@performance.meli.com,StarmeUpQ4+,performance-meli-30010694,GISELLE MARTINEZ
dummy3008958@performance.meli.com,StarmeUpQ4+,performance-meli-30039099,VALENTINA BEATRIZ CASAS
dummy3005019@performance.meli.com,StarmeUpQ4+,performance-meli-30106830,FLORENCIA TERRE
dummy3008740@performance.meli.com,StarmeUpQ4+,performance-meli-10337,ELIAN FEDERICO GALLEGO
dummy3006634@performance.meli.com,StarmeUpQ4+,performance-meli-30057628,GUSTAVO MAZALI ROMEO
dummy3005068@performance.meli.com,StarmeUpQ4+,performance-meli-30062977,MATIAS MARIANO AGUIRRE
dummy3005547@performance.meli.com,StarmeUpQ4+,performance-meli-30075458,SERGIO LUCIANO SANZ
dummy3007382@performance.meli.com,StarmeUpQ4+,performance-meli-30027706,ISABELLA MARIA BRAYLAN
dummy3007817@performance.meli.com,StarmeUpQ4+,performance-meli-30023538,MARTIN LUIS FABER
dummy3007715@performance.meli.com,StarmeUpQ4+,performance-meli-30056441,FRANCO LUCAS LONGINOTTI
dummy3007577@performance.meli.com,StarmeUpQ4+,performance-meli-30067243,MOHAMED JUAN LIMA BOAVENTURA
dummy3007793@performance.meli.com,StarmeUpQ4+,performance-meli-30018819,MARTIN ROLDAN
dummy3007703@performance.meli.com,StarmeUpQ4+,performance-meli-30060397,SIJING MARROCOS
dummy3005358@performance.meli.com,StarmeUpQ4+,performance-meli-30041259,JUAN CUENCA
dummy3007591@performance.meli.com,StarmeUpQ4+,performance-meli-30021046,HERNAN ARIEL MATSUMOTO TOMINAGA
dummy3008577@performance.meli.com,StarmeUpQ4+,performance-meli-30037627,LISANDRO MIGUEL VILLAR LOZANO
dummy3007427@performance.meli.com,StarmeUpQ4+,performance-meli-30037972,ANA MARIA GABRIELE BENVEGNU DE SOUZA
dummy3008893@performance.meli.com,StarmeUpQ4+,performance-meli-30045734,DAIANA GISELLE SUAREZ ARENAS
dummy3005584@performance.meli.com,StarmeUpQ4+,performance-meli-2814,CAROLINA MABEL KOCAN
dummy3008385@performance.meli.com,StarmeUpQ4+,performance-meli-30088586,MARIA DEL PILAR VEDOVATTI
#N/A,StarmeUpQ4+,#N/A,#N/A
dummy3006474@performance.meli.com,StarmeUpQ4+,performance-meli-30036882,IVAN SOARES BARBOSA GONCALVES
dummy3007449@performance.meli.com,StarmeUpQ4+,performance-meli-30019931,PABLO MARTIN RODRIGUES SILVA
dummy3007769@performance.meli.com,StarmeUpQ4+,performance-meli-30024369,NELSON UEMURA
dummy3008056@performance.meli.com,StarmeUpQ4+,performance-meli-30089108,DELFINA ARAUJO VIEIRA DOS SANTOS
dummy3006552@performance.meli.com,StarmeUpQ4+,performance-meli-30047167,MATHEUS JULIO GARCIA GUEVARA
dummy3007784@performance.meli.com,StarmeUpQ4+,performance-meli-30033302,PAULA CRISTINA LOPES
dummy3008031@performance.meli.com,StarmeUpQ4+,performance-meli-30006126,MAURO ALENCAR DA SILVA
dummy3007761@performance.meli.com,StarmeUpQ4+,performance-meli-30095638,GLEICEANE DA SILVA ROMERO
dummy3008253@performance.meli.com,StarmeUpQ4+,performance-meli-30103033,MARIA CELESTE GOMEZ
dummy3005396@performance.meli.com,StarmeUpQ4+,performance-meli-30036513,TOMAS MANUEL MARTINEZ BENAVIDES
dummy3005392@performance.meli.com,StarmeUpQ4+,performance-meli-30103473,PAOLA ANDREA AVELLA ANGEL
dummy3005099@performance.meli.com,StarmeUpQ4+,performance-meli-30054017,MARIA GABRIELA DUER
dummy3006517@performance.meli.com,StarmeUpQ4+,performance-meli-30079667,CAROLINA DA ROCHA ARAUJO
dummy3007535@performance.meli.com,StarmeUpQ4+,performance-meli-30074226,GASTON ROMA FAGUNDES COSTA
dummy3007454@performance.meli.com,StarmeUpQ4+,performance-meli-30017256,RENATA LUIZA POMES
dummy3005575@performance.meli.com,StarmeUpQ4+,performance-meli-30104152,IGNACIO CAMPOS
dummy3005588@performance.meli.com,StarmeUpQ4+,performance-meli-30043387,TOMAS IGNACIO TUCHINSKY
dummy3007858@performance.meli.com,StarmeUpQ4+,performance-meli-30068306,SANTIAGO FORRESTER
dummy3005371@performance.meli.com,StarmeUpQ4+,performance-meli-30034813,CAROLINA BEATRIZ ISLA JAUREGUI
dummy3005153@performance.meli.com,StarmeUpQ4+,performance-meli-30004278,VALENTINA LOYARTE
dummy3005628@performance.meli.com,StarmeUpQ4+,performance-meli-30111204,LUANA ISABEL VASCONCELLOS GOMES
dummy3007805@performance.meli.com,StarmeUpQ4+,performance-meli-30035248,NATALIA MARCON NERY
dummy3009163@performance.meli.com,StarmeUpQ4+,performance-meli-30007478,FRANCISCO OLIVEIRA FACCHINI
dummy3005204@performance.meli.com,StarmeUpQ4+,performance-meli-30054018,FELIPE IGNACIO KISHINEVSKY PAZ
dummy3005201@performance.meli.com,StarmeUpQ4+,performance-meli-30111299,VANESA RODRIGUEZ ALPACA
dummy3007673@performance.meli.com,StarmeUpQ4+,performance-meli-30048618,IGNACIO ANDRES COGORNO
dummy3007984@performance.meli.com,StarmeUpQ4+,performance-meli-30057125,FLORENCIA GIACOMELLI MORALES FERNANDES
dummy3005125@performance.meli.com,StarmeUpQ4+,performance-meli-30024625,MARTINA ASPERA
dummy3008185@performance.meli.com,StarmeUpQ4+,performance-meli-30108118,IVAN DANTAS SANTOS
dummy3008231@performance.meli.com,StarmeUpQ4+,performance-meli-30105852,LAIS GAUNA
dummy3005163@performance.meli.com,StarmeUpQ4+,performance-meli-30018671,JULIAN MATIAS LEMBEYE
dummy3009017@performance.meli.com,StarmeUpQ4+,performance-meli-30027327,ANA IFRAN
dummy3007386@performance.meli.com,StarmeUpQ4+,performance-meli-30047071,DIEGO GALPERIN
dummy3006368@performance.meli.com,StarmeUpQ4+,performance-meli-30021795,NICHOLAS BARRETO TAVARES
dummy3006308@performance.meli.com,StarmeUpQ4+,performance-meli-30007974,IANO MARTINS DE ARAUJO
dummy3006162@performance.meli.com,StarmeUpQ4+,performance-meli-30098137,KAROLINA NUNES ROCHA
dummy3006593@performance.meli.com,StarmeUpQ4+,performance-meli-30089973,FEDERICO FAINSOD
dummy3007376@performance.meli.com,StarmeUpQ4+,performance-meli-30059141,JESSICA FABIOLA ESQUER
dummy3008469@performance.meli.com,StarmeUpQ4+,performance-meli-30043238,ALVARO IGNACIO AVELLANEDA NOFAL
dummy3005086@performance.meli.com,StarmeUpQ4+,performance-meli-30066078,MACARENA MARIA ABELLA RODRIGUEZ
dummy3005565@performance.meli.com,StarmeUpQ4+,performance-meli-30099502,RODRIGO SLAVKIN
dummy3005604@performance.meli.com,StarmeUpQ4+,performance-meli-30037334,FRANCO MARTINO
dummy3007631@performance.meli.com,StarmeUpQ4+,performance-meli-30042530,ANA SASSO
dummy3007847@performance.meli.com,StarmeUpQ4+,performance-meli-30039565,GUILHERME CERQUEIRA
dummy3009139@performance.meli.com,StarmeUpQ4+,performance-meli-30011891,LAZARO SIQUEIRA DOURADO
dummy3007641@performance.meli.com,StarmeUpQ4+,performance-meli-3092,ANTONELLA LAVEGA
dummy3007400@performance.meli.com,StarmeUpQ4+,performance-meli-30091578,MARCOS GASTON DE SANTIS BO
dummy3009096@performance.meli.com,StarmeUpQ4+,performance-meli-30021303,MACARENA RODRIGUEZ PIRANI
dummy3006914@performance.meli.com,StarmeUpQ4+,performance-meli-30099111,JESSICA ANANIAS TORRES
dummy3007556@performance.meli.com,StarmeUpQ4+,performance-meli-30074458,LUIZ MIRANDA DE SOUZA
dummy3006529@performance.meli.com,StarmeUpQ4+,performance-meli-30041963,CINTHIA DE CASTRO CONTINENTINO
dummy3006596@performance.meli.com,StarmeUpQ4+,performance-meli-30066903,MARTIN LEANDRO BOQUEN
dummy3005055@performance.meli.com,StarmeUpQ4+,performance-meli-30087590,CARMELA SEGURA
dummy3009137@performance.meli.com,StarmeUpQ4+,performance-meli-30012208,GUILLERMO ANDRES KOMEL
dummy3008865@performance.meli.com,StarmeUpQ4+,performance-meli-30044324,LUCIA VERONICA FERNANDEZ
dummy3005613@performance.meli.com,StarmeUpQ4+,performance-meli-30013197,EMILIO FRANCISCO RODRIGUES GARCEZ
dummy3008681@performance.meli.com,StarmeUpQ4+,performance-meli-30046359,SANTIAGO GASTON NEME VEGA
dummy3008809@performance.meli.com,StarmeUpQ4+,performance-meli-30050715,MARTIN LEONARDO SICA
dummy3008923@performance.meli.com,StarmeUpQ4+,performance-meli-30041138,JOAO FELIPE DOMINGOS DE OLIVEIRA
dummy3008255@performance.meli.com,StarmeUpQ4+,performance-meli-30064279,MARIA CATALINA ROLDAN
dummy3008623@performance.meli.com,StarmeUpQ4+,performance-meli-30070755,CAROLINE BAZZANI MANINI
dummy3005024@performance.meli.com,StarmeUpQ4+,performance-meli-30066332,ANDREAS MAXIMILIANO TAUBER DE FREITAS
dummy3007990@performance.meli.com,StarmeUpQ4+,performance-meli-30083013,SARA UGARTE
dummy3008816@performance.meli.com,StarmeUpQ4+,performance-meli-30036127,GASTON DE SAN MARTIN
dummy3008759@performance.meli.com,StarmeUpQ4+,performance-meli-30059439,NICOLAS PATERNOSTRO
dummy3008781@performance.meli.com,StarmeUpQ4+,performance-meli-30009120,ANDRES DE SOUSA ALVES
dummy3007800@performance.meli.com,StarmeUpQ4+,performance-meli-30016168,ANA PAULA CESAR CARDAMONE
dummy3005083@performance.meli.com,StarmeUpQ4+,performance-meli-30004788,MAURO FEDERICO PAZ
dummy3008829@performance.meli.com,StarmeUpQ4+,performance-meli-30049646,ALEJANDRO LEDER
dummy3008406@performance.meli.com,StarmeUpQ4+,performance-meli-30021301,CAIO FERNANDES ROSA LOPES
dummy3008946@performance.meli.com,StarmeUpQ4+,performance-meli-30040627,STEPHANI VALENTINA FERNANDES MIRANDA DA SILVA
dummy3008659@performance.meli.com,StarmeUpQ4+,performance-meli-30067490,TOMAS GONZALEZ
dummy3008381@performance.meli.com,StarmeUpQ4+,performance-meli-30007676,ANDRES MUSACHE
dummy3009098@performance.meli.com,StarmeUpQ4+,performance-meli-30020276,CRISTAL MAUREEN ARANGO
dummy3008315@performance.meli.com,StarmeUpQ4+,performance-meli-30096624,MARIA FLORENCIA CARMONA
dummy3007531@performance.meli.com,StarmeUpQ4+,performance-meli-30004668,RODRIGO ROSEMBERG
dummy3006503@performance.meli.com,StarmeUpQ4+,performance-meli-30069989,CARINA ROCHA SCARPIN
dummy3006511@performance.meli.com,StarmeUpQ4+,performance-meli-30018175,ADRIANA RODRIGUES DE SOUSA
dummy3006528@performance.meli.com,StarmeUpQ4+,performance-meli-30025411,LUIZ CORDEIRO LIPKIN PECANHA ROSA
dummy3007433@performance.meli.com,StarmeUpQ4+,performance-meli-30002953,JUAN PEDRO MEDAGLIA
dummy3007511@performance.meli.com,StarmeUpQ4+,performance-meli-30047373,ADRIANO LEVI RODRIGUES DA SILVA
dummy3007245@performance.meli.com,StarmeUpQ4+,performance-meli-30074427,CATALINA BORRAJO
dummy3006464@performance.meli.com,StarmeUpQ4+,performance-meli-30019847,JOICY DE GIORGIO
dummy3008436@performance.meli.com,StarmeUpQ4+,performance-meli-30088607,GONZALO JULIAN ALVES COPPOLA
dummy3009112@performance.meli.com,StarmeUpQ4+,performance-meli-30019098,MARIA DEL CORAZON DE JESUS PEREZ
dummy3008847@performance.meli.com,StarmeUpQ4+,performance-meli-30049772,LUCIANA ALVAREZ MARTINEZ
dummy3008703@performance.meli.com,StarmeUpQ4+,performance-meli-30010164,BRUNO JERONIMO JIMENEZ
dummy3008006@performance.meli.com,StarmeUpQ4+,performance-meli-30090694,CANDELA MARGOT FINARDI
dummy3008016@performance.meli.com,StarmeUpQ4+,performance-meli-30016317,RICARDO MORALES
dummy3008645@performance.meli.com,StarmeUpQ4+,performance-meli-11663,TOMAS GOLDIN
dummy3008515@performance.meli.com,StarmeUpQ4+,performance-meli-30043320,JUAN SEBASTIAN FORTUNATO
dummy3005343@performance.meli.com,StarmeUpQ4+,performance-meli-80140,SEBASTIAN TAGLE ASPILLAGA
dummy3008657@performance.meli.com,StarmeUpQ4+,performance-meli-30067576,FLAVIA ELIZA DE ANCHORENA
dummy3008648@performance.meli.com,StarmeUpQ4+,performance-meli-30066212,JULIA BOUCHET
dummy3008843@performance.meli.com,StarmeUpQ4+,performance-meli-30049050,FEDERICO LINGERI
dummy3009093@performance.meli.com,StarmeUpQ4+,performance-meli-30022244,LUCIANA CASTAÑEDA BURGOS
dummy3008962@performance.meli.com,StarmeUpQ4+,performance-meli-30014705,NICOLAS CAPPARELLI
dummy3005216@performance.meli.com,StarmeUpQ4+,performance-meli-30051603,JOSEFINA DE ARRIZABALAGA HERNANDEZ
dummy3005376@performance.meli.com,StarmeUpQ4+,performance-meli-30002557,ANDRE GANOZA LÓPEZ
dummy3006603@performance.meli.com,StarmeUpQ4+,performance-meli-30021957,SANTIAGO TOJO
dummy3005620@performance.meli.com,StarmeUpQ4+,performance-meli-30053033,FELICITAS JOSEFINA BENAVENTE PALACIOS
dummy3005122@performance.meli.com,StarmeUpQ4+,performance-meli-30068794,DELFINA DANDREA VILLARREAL
dummy3007731@performance.meli.com,StarmeUpQ4+,performance-meli-30088551,AXEL LEONEL MERALDI
dummy3005409@performance.meli.com,StarmeUpQ4+,performance-meli-30066246,DANIEL ALFREDO HERNANDEZ
dummy3006618@performance.meli.com,StarmeUpQ4+,performance-meli-30046573,MARIA SOL RADA
dummy3007758@performance.meli.com,StarmeUpQ4+,performance-meli-30023192,FEDERICO DA SILVA
dummy3005538@performance.meli.com,StarmeUpQ4+,performance-meli-30007561,MAGDALENA MAIER
dummy3009085@performance.meli.com,StarmeUpQ4+,performance-meli-30022515,MARTIN APPESSECHE
dummy3008966@performance.meli.com,StarmeUpQ4+,performance-meli-30039128,PAULA SOFIA SOTO NUNES
dummy3006499@performance.meli.com,StarmeUpQ4+,performance-meli-30096641,WILLIAM PAULO BORGES GONCALVES
dummy3006502@performance.meli.com,StarmeUpQ4+,performance-meli-30027442,CESAR SANTOS ORIGUELA
dummy3008046@performance.meli.com,StarmeUpQ4+,performance-meli-30048443,IGNACIO ALVES LINHARES
dummy3007901@performance.meli.com,StarmeUpQ4+,performance-meli-30088535,FRANCISCO DE SALA
dummy3008817@performance.meli.com,StarmeUpQ4+,performance-meli-30007174,YANINA KUTASIEVICH
dummy3008217@performance.meli.com,StarmeUpQ4+,performance-meli-30105612,RAMON ROJAS FLOREZ
dummy3005004@performance.meli.com,StarmeUpQ4+,performance-meli-30059491,JONATHAN ALVAREZ
dummy3005576@performance.meli.com,StarmeUpQ4+,performance-meli-30037620,SANTIAGO JOAQUIN RASORE
dummy3005078@performance.meli.com,StarmeUpQ4+,performance-meli-30032000,JUAN MANUEL PALMIERI
dummy3007486@performance.meli.com,StarmeUpQ4+,performance-meli-30057271,MARIA JAQUELINE LEYCEGUI
dummy3005442@performance.meli.com,StarmeUpQ4+,performance-meli-30060677,PAMELA MARTINEZ
dummy3006466@performance.meli.com,StarmeUpQ4+,performance-meli-30005871,NATHALIA STEVANATO JACOB
dummy3008395@performance.meli.com,StarmeUpQ4+,performance-meli-30023500,AGOSTINA FRIED
dummy3006572@performance.meli.com,StarmeUpQ4+,performance-meli-30107165,JUAN IGNACIO GIORDANO ZITTO
dummy3006298@performance.meli.com,StarmeUpQ4+,performance-meli-30042082,ANDY CAMPOS SPERANDIO
dummy3006490@performance.meli.com,StarmeUpQ4+,performance-meli-30036647,PEDRO LEONARDO RAMOS DOS SANTOS
dummy3006475@performance.meli.com,StarmeUpQ4+,performance-meli-30038610,VITORIA RENNER LAGE FERREIRA DA GAMA FILHO
dummy3007216@performance.meli.com,StarmeUpQ4+,performance-meli-30100982,LUCAS DE MILANO FRIEDMANN
dummy3006460@performance.meli.com,StarmeUpQ4+,performance-meli-30090610,JUAN FELIPE DOS SANTOS IZIDIO MEIRA
